,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Rank,Player Name,Pos rank,Team,Bye,Pass yards,Pass TD,Int,Rush Yards,Rush TD,Receptions,Receicing Yards,Receiving TD,Fantasy Points,Value
,,,135,Elijah Moore,WR52,CLE,5,0,0,0,16,0.1,50,653,3.7,114.8,11.4
,,,136,Tyjae Spears,RB47,TEN,7,0,0,0,407,2.3,25,184,1.1,91.7,10.7
,,,137,Van Jefferson,WR53,LAR,10,0,0,0,7,0.1,44,632,4.5,113.4,10
,,,138,Dallas Cowboys,DST1,DAL,7,--,--,--,--,--,--,--,--,132.3,9.8
,,,139,Jordan Love,QB22,GB,6,3356,19.5,12.9,313,2.8,0,0,0,247.4,9.2
,,,139,Michael Mayer,TE17,LV,13,0,0,0,6,0.1,45,551,3.1,97.2,9.2
,,,141,San Francisco 49ers,DST2,SF,9,--,--,--,--,--,--,--,--,130.6,9
,,,142,Tyler Higbee,TE18,LAR,10,0,0,0,0,0,54,537,2.7,96.8,8.9
,,,142,Chase Brown,RB48,CIN,7,0,0,0,335,2.1,27,215,1.5,89.9,8.9
,,,144,Philadelphia Eagles,DST3,PHI,10,--,--,--,--,--,--,--,--,130.2,8.8
,,,145,Jeff Wilson Jr.,RB49,MIA,10,0,0,0,382,3.5,20,145,1,89.4,8.4
,,,146,Chase Edmonds,RB50,TB,5,0,0,0,513,3,14,101,0.4,89,8
,,,147,Chuba Hubbard,RB51,CAR,7,0,0,0,398,3,19,156,0.9,88.5,7.5
,,,148,Irv Smith Jr.,TE19,CIN,7,0,0,0,0,0,52,486,3.4,95,7.2
,,,149,Baltimore Ravens,DST4,BAL,13,--,--,--,--,--,--,--,--,126.8,7.1
,,,150,Justin Tucker,K1,BAL,13,--,--,--,--,--,--,--,--,145.9,6
,,,151,Matthew Stafford,QB23,LAR,10,3859,23.3,12.7,39,0.7,0,0,0,243,5.7
,,,152,Jason Myers,K2,SEA,5,--,--,--,--,--,--,--,--,144.7,5.4
,,,152,Zay Jones,WR54,JAC,9,0,0,0,20,0.1,48,586,3.9,108.8,5.4
,,,154,New England Patriots,DST5,NE,11,--,--,--,--,--,--,--,--,123.2,5.3
,,,155,Cameron Dicker,K3,LAC,5,--,--,--,--,--,--,--,--,144.4,5.2
,,,156,Dawson Knox,TE20,BUF,13,0,0,0,0,0,40,415,5.2,92.5,5
,,,156,Rashee Rice,WR55,KC,10,0,0,0,23,0.3,43,570,4.3,108.4,5
,,,158,Harrison Butker,K4,KC,10,--,--,--,--,--,--,--,--,143.8,4.9
,,,159,Zay Flowers,WR56,BAL,13,0,0,0,18,0.1,50,583,3.7,108.1,4.7
,,,159,C.J. Stroud,QB24,HOU,7,3551,18.4,15.1,262,2.4,0,4,0,241.8,4.7
,,,161,Buffalo Bills,DST6,BUF,13,--,--,--,--,--,--,--,--,121.1,4.2
,,,162,Romeo Doubs,WR57,GB,6,0,0,0,13,0.1,46,594,3.8,107.1,3.7
,,,162,Jonathan Mingo,WR57,CAR,7,0,0,0,19,0.1,44,610,3.6,107.1,3.7
,,,164,Greg Zuerlein,K5,NYJ,7,--,--,--,--,--,--,--,--,141,3.5
,,,164,D'Onta Foreman,RB52,CHI,13,0,0,0,530,3.5,7,56,0.2,84.5,3.5
,,,166,Jason Sanders,K6,MIA,10,--,--,--,--,--,--,--,--,140.5,3.3
,,,167,Carolina Panthers,DST7,CAR,7,--,--,--,--,--,--,--,--,118.9,3.1
,,,168,Evan McPherson,K7,CIN,7,--,--,--,--,--,--,--,--,139.9,3
,,,169,Gerald Everett,TE21,LAC,5,0,0,0,0,0,43,494,3.2,90,2.7
,,,170,Kansas City Chiefs,DST8,KC,10,--,--,--,--,--,--,--,--,117.8,2.6
,,,170,Greg Joseph,K8,MIN,13,--,--,--,--,--,--,--,--,139.2,2.6
,,,170,James Robinson,RB53,NE,11,0,0,0,459,3.6,12,83,0.3,83.6,2.6
,,,173,Clyde Edwards-Helaire,RB54,KC,10,0,0,0,302,2.2,23,192,1.6,83.4,2.4
,,,173,Donovan Peoples-Jones,WR59,CLE,5,0,0,0,7,0.1,46,616,3.3,105.8,2.4
,,,175,Cleveland Browns,DST9,CLE,5,--,--,--,--,--,--,--,--,117.3,2.3
,,,175,Tyler Bass,K9,BUF,13,--,--,--,--,--,--,--,--,138.5,2.3
,,,177,Marquez Valdes-Scantling,WR60,KC,10,0,0,0,0,0,46,590,3.9,105.4,2
,,,178,New York Giants,DST10,NYG,13,--,--,--,--,--,--,--,--,116.4,1.9
,,,178,Jacksonville Jaguars,DST10,JAC,9,--,--,--,--,--,--,--,--,116.4,1.9
,,,180,Cincinnati Bengals,DST12,CIN,7,--,--,--,--,--,--,--,--,116,1.7
,,,181,Jerick McKinnon,RB55,KC,10,0,0,0,253,1.9,26,197,2.2,82.6,1.6
,,,182,Michael Badgley,K10,DET,9,--,--,--,--,--,--,--,--,137,1.5
,,,183,New York Jets,DST13,NYJ,7,--,--,--,--,--,--,--,--,115.4,1.4
,,,183,Tyler Boyd,WR61,CIN,7,0,0,0,5,0,48,541,4.4,104.8,1.4
,,,185,New Orleans Saints,DST14,NO,11,--,--,--,--,--,--,--,--,115.2,1.3
,,,186,Jake Moody,K11,SF,9,--,--,--,--,--,--,--,--,136.4,1.2
,,,187,Riley Patterson,K12,JAC,9,--,--,--,--,--,--,--,--,136.2,1.1
,,,187,John Metchie III,WR62,HOU,7,0,0,0,11,0,45,622,3.1,104.5,1.1
,,,189,Daniel Carlson,K13,LV,13,--,--,--,--,--,--,--,--,135.7,0.9
,,,190,Pittsburgh Steelers,DST15,PIT,6,--,--,--,--,--,--,--,--,114.3,0.8
,,,191,Noah Fant,TE22,SEA,5,0,0,0,0,0,45,467,3.1,87.6,0.6
,,,191,Roschon Johnson,RB56,CHI,13,0,0,0,444,1.9,17,130,0.7,81.6,0.6
,,,193,Sam LaPorta,TE23,DET,9,0,0,0,6,0.1,40,463,3.3,87.4,0.4
,,,194,Nick Folk,K14,NE,11,--,--,--,--,--,--,--,--,134.4,0.2
,,,194,DJ Chark Jr.,WR63,CAR,7,0,0,0,6,0.1,48,575,3.5,103.6,0.2
,,,196,Odell Beckham Jr.,WR64,BAL,13,0,0,0,0,0,50,564,3.7,103.5,0.1
,,,197,Zach Evans,RB57,LAR,10,0,0,0,437,2.2,16,129,0.5,80.9,-0.1
,,,198,Jake Elliott,K15,PHI,10,--,--,--,--,--,--,--,--,133.6,-0.4
,,,199,Younghoe Koo,K16,ATL,11,--,--,--,--,--,--,--,--,133.5,-0.5
,,,200,Tyquan Thornton,WR65,NE,11,0,0,0,25,0.2,42,564,3.6,102.8,-0.6
,,,201,Terrace Marshall Jr.,WR66,CAR,7,0,0,0,13,0.1,49,559,3.4,102.7,-0.7
,,,202,Jimmy Garoppolo,QB25,LV,13,3825,21.4,12.4,35,0.9,0,0,0,235.1,-0.8
,,,203,Wil Lutz,K17,NO,11,--,--,--,--,--,--,--,--,132.6,-1.4
,,,204,Mike Gesicki,TE24,NE,11,0,0,0,0,0,43,466,2.9,85.5,-1.5
,,,205,Rashid Shaheed,WR67,NO,11,0,0,0,39,0.3,41,580,2.9,101.8,-1.6
,,,205,Cade York,K18,CLE,5,--,--,--,--,--,--,--,--,132.4,-1.6
,,,207,K.J. Osborn,WR68,MIN,13,0,0,0,5,0,47,526,4.2,101.7,-1.7
,,,208,Seattle Seahawks,DST16,SEA,5,--,--,--,--,--,--,--,--,110.7,-1.9
,,,208,Brandon McManus,K19,DEN,9,--,--,--,--,--,--,--,--,132.1,-1.9
,,,210,Chase McLaughlin,K20,TB,5,--,--,--,--,--,--,--,--,131.4,-2.6
,,,211,Tyler Conklin,TE25,NYJ,7,0,0,0,4,0,42,406,3.7,84.3,-2.7
,,,212,Adam Thielen,WR69,CAR,7,0,0,0,0,0,46,583,3.1,100.1,-3.3
,,,213,Michael Thomas,WR70,NO,11,0,0,0,0,0,47,567,3.3,100,-3.4
,,,213,Hayden Hurst,TE26,CAR,7,0,0,0,0,0,43,446,2.9,83.6,-3.4
,,,215,Eddy Pineiro,K21,CAR,7,--,--,--,--,--,--,--,--,130.5,-3.5
,,,216,Joey Slye,K22,WAS,14,--,--,--,--,--,--,--,--,129.8,-4.2
,,,217,Kendre Miller,RB58,NO,11,0,0,0,369,1.8,21,152,0.5,76.3,-4.7
,,,218,Curtis Samuel,WR71,WAS,14,0,0,0,138,0.7,36,424,3.4,98.6,-4.8
,,,219,Indianapolis Colts,DST17,IND,11,--,--,--,--,--,--,--,--,107.6,-5
,,,220,Ka'imi Fairbairn,K23,HOU,7,--,--,--,--,--,--,--,--,128.9,-5.1
,,,220,Darnell Mooney,WR72,CHI,13,0,0,0,11,0.1,43,546,3.4,98.3,-5.1
,,,220,Mac Jones,QB26,NE,11,3494,20.1,11.7,115,1.8,0,0,0,230.8,-5.1
,,,223,Detroit Lions,DST18,DET,9,--,--,--,--,--,--,--,--,107.3,-5.3
,,,224,Los Angeles Chargers,DST19,LAC,5,--,--,--,--,--,--,--,--,107.1,-5.5
,,,225,Chris Boswell,K24,PIT,6,--,--,--,--,--,--,--,--,128.4,-5.6
,,,226,Jalin Hyatt,WR73,NYG,13,0,0,0,11,0.1,45,563,2.9,97.7,-5.7
,,,227,Tampa Bay Buccaneers,DST20,TB,5,--,--,--,--,--,--,--,--,106.6,-6
,,,228,Minnesota Vikings,DST21,MIN,13,--,--,--,--,--,--,--,--,105.7,-6.9
,,,229,Michael Carter,RB59,NYJ,7,0,0,0,265,1.1,28,203,1.1,74,-7
,,,229,Pierre Strong Jr.,RB59,NE,11,0,0,0,221,1.4,29,229,1,74,-7
,,,231,Desmond Ridder,QB27,ATL,11,3066,17.9,11.2,289,2.8,0,0,0,228.7,-7.2
,,,232,Green Bay Packers,DST22,GB,6,--,--,--,--,--,--,--,--,105.3,-7.3
,,,233,Anders Carlson,K25,GB,6,--,--,--,--,--,--,--,--,126.2,-7.8
,,,234,Graham Gano,K26,NYG,13,--,--,--,--,--,--,--,--,126,-8
,,,234,Nick Westbrook-Ikhine,WR74,TEN,7,0,0,0,8,0.1,40,563,2.9,95.4,-8
,,,234,Matt Gay,K26,IND,11,--,--,--,--,--,--,--,--,126,-8
,,,237,Jake Ferguson,TE27,DAL,7,0,0,0,0,0,40,379,3.4,78.2,-8.8
,,,238,Cairo Santos,K28,CHI,13,--,--,--,--,--,--,--,--,125.1,-8.9
,,,239,Denver Broncos,DST23,DEN,9,--,--,--,--,--,--,--,--,103.4,-9.2
,,,240,Washington Commanders,DST24,WAS,14,--,--,--,--,--,--,--,--,102.7,-9.9
,,,241,Israel Abanikanda,RB61,NYJ,7,0,0,0,391,2,13,97,0.6,70.8,-10.2
,,,242,Tank Bigsby,RB62,JAC,9,0,0,0,326,2,17,136,0.6,70.4,-10.6
,,,243,Taysom Hill,TE28,NO,11,127,0.7,0.3,332,3.1,8,93,0.5,75.7,-11.3
,,,244,Cade Otton,TE29,TB,5,0,0,0,0,0,37,423,2.5,75.5,-11.5
,,,245,Gus Edwards,RB63,BAL,13,0,0,0,409,3.6,3,34,0.3,69.4,-11.6
,,,246,Tennessee Titans,DST25,TEN,7,--,--,--,--,--,--,--,--,100.2,-12.4
,,,246,Hunter Renfrow,WR75,LV,13,0,0,0,9,0.1,46,499,2.8,91,-12.4
,,,248,Miami Dolphins,DST26,MIA,10,--,--,--,--,--,--,--,--,99.8,-12.8
,,,249,Michael Gallup,WR76,DAL,7,0,0,0,16,0.2,39,498,3,90.3,-13.1
,,,250,Atlanta Falcons,DST27,ATL,11,--,--,--,--,--,--,--,--,99.3,-13.3
,,,250,Caleb Shudak,K29,TEN,7,--,--,--,--,--,--,--,--,120.7,-13.3
,,,252,Matt Prater,K30,ARI,14,--,--,--,--,--,--,--,--,119.1,-14.9
,,,253,Kenneth Gainwell,RB64,PHI,10,0,0,0,257,2.5,19,134,0.4,66,-15
,,,254,Joshua Palmer,WR77,LAC,5,0,0,0,7,0,42,504,2.7,88.2,-15.2
,,,255,Mecole Hardman,WR78,NYJ,7,0,0,0,59,0.4,40,473,2,87.5,-15.9
,,,256,Isaiah Hodgins,WR79,NYG,13,0,0,0,7,0.1,39,477,3,86.5,-16.9
,,,257,Houston Texans,DST28,HOU,7,--,--,--,--,--,--,--,--,94.8,-17.8
,,,257,Khalil Shakir,WR80,BUF,13,0,0,0,0,0,37,479,3.2,85.6,-17.8
,,,259,Marvin Jones Jr.,WR81,DET,9,0,0,0,0,0,41,522,2.1,85.2,-18.2
,,,260,Alec Pierce,WR82,IND,11,0,0,0,8,0.1,33,493,3,85.1,-18.3
,,,261,Trey McBride,TE30,ARI,14,0,0,0,4,0,35,339,2.8,68.3,-18.7
,,,262,Los Angeles Rams,DST29,LAR,10,--,--,--,--,--,--,--,--,93.6,-19
,,,262,Robert Woods,WR83,HOU,7,0,0,0,7,0,43,494,2.1,84.4,-19
